Designer,Name,Link,Photo,Category,Price,Projects,Hearts,Rating
Ysolda Teague,Ishbel,http://www.ravelry.com/patterns/library/ishbel,http://farm9.static.flickr.com/8004/7691352418_8707ee4a75_m.jpg,Shawls / Scarves,$5.80 ,12270,13456,4.6
Ysolda Teague,Damson,http://www.ravelry.com/patterns/library/damson-2,http://farm9.static.flickr.com/8015/7703492890_440868a61c_m.jpg,Shawls / Scarves,$5.80 ,3558,8520,4.5
Ysolda Teague,Liesl,http://www.ravelry.com/patterns/library/liesl,http://farm4.static.flickr.com/3159/2608866358_a969e2cc7e_m.jpg,Sweaters,$7.75 ,3010,7907,4.5
Ysolda Teague,Elijah,http://www.ravelry.com/patterns/library/elijah,http://farm3.static.flickr.com/2239/1876010934_579309c77c_m.jpg,Softies,$5.80 ,3005,9004,4.7
Ysolda Teague,Urchin,http://www.ravelry.com/patterns/library/urchin,http://farm2.static.flickr.com/1415/1374094165_290215a1c8_m.jpg,Hats,Free,2878,6009,4.3
Ysolda Teague,Gretel,http://www.ravelry.com/patterns/library/gretel,http://farm2.static.flickr.com/1245/974471257_9cf57d3c3c_m.jpg,Hats,$5.80 ,2360,6271,4.6
Ysolda Teague,Rose Red,http://www.ravelry.com/patterns/library/rose-red,http://farm3.static.flickr.com/2241/2352034481_603b1e46de_m.jpg,Hats,$5.80 ,2058,5983,4.8
Ysolda Teague,Veyla,http://www.ravelry.com/patterns/library/veyla,http://farm4.static.flickr.com/3491/3863085048_ed8876a53e_m.jpg,Gloves,$5.80 ,1722,7005,4.6
Ysolda Teague,Ripley,http://www.ravelry.com/patterns/library/ripley-3,http://farm4.static.flickr.com/3475/3862291573_19b6053104_m.jpg,Hats,$5.80 ,1553,4645,4.6
Ysolda Teague,Snapdragon Tam,http://www.ravelry.com/patterns/library/snapdragon-tam,http://farm3.static.flickr.com/2525/3904527198_541e0c4cfa_m.jpg,Hats,$5.81 ,1425,3957,4.6
Ysolda Teague,Garter Stitch Mitts,http://www.ravelry.com/patterns/library/garter-stitch-mitts,http://farm3.static.flickr.com/2384/2062902485_60f36186f7_m.jpg,Gloves,Free,1412,3557,4.4
Ysolda Teague,Peaks Island Hood,http://www.ravelry.com/patterns/library/peaks-island-hood,http://farm3.static.flickr.com/2613/4046655106_fc22c72350_m.jpg,Shawls / Scarves,$5.80 ,1240,8256,4.2
Ysolda Teague,Vivian,http://www.ravelry.com/patterns/library/vivian,http://images4.ravelrycache.com/uploads/needlesonfire/2637223/vivian_z_500_small_best_fit.jpg,Sweaters,$7.00 ,1056,13313,4.6
Ysolda Teague,Snapdragon flip-tops,http://www.ravelry.com/patterns/library/snapdragon-flip-tops,http://farm3.static.flickr.com/2566/3953338003_010cf1e73e_m.jpg,Gloves,$5.80 ,1002,2861,4.3
Ysolda Teague,Cloud Bolero [no longer available],http://www.ravelry.com/patterns/library/cloud-bolero-no-longer-available,http://farm1.static.flickr.com/130/337546975_8b20f02dfd_m.jpg,Sweaters,Free,905,4657,4
Ysolda Teague,Scroll Lace Scarf,http://www.ravelry.com/patterns/library/scroll-lace-scarf,http://farm3.static.flickr.com/2653/4069408531_3b309fb563_m.jpg,Shawls / Scarves,$5.80 ,854,3310,4.4
Ysolda Teague,Vine Yoke Cardigan,http://www.ravelry.com/patterns/library/vine-yoke-cardigan,http://images4-b.ravelrycache.com/uploads/needlesonfire/12675670/vine_z_500_small_best_fit.jpg,Sweaters,$7.00 ,837,10483,4.4
Ysolda Teague,Coraline,http://www.ravelry.com/patterns/library/coraline,http://farm3.static.flickr.com/2031/2214190647_2d111ce24a_m.jpg,Sweaters,$7.75 ,826,8775,4.7
Ysolda Teague,Orchid Thief,http://www.ravelry.com/patterns/library/orchid-thief,http://farm9.static.flickr.com/8312/8029550959_20e02f9d4b_m.jpg,Shawls / Scarves,$5.80 ,793,5860,4.2
Ysolda Teague,Marin,http://www.ravelry.com/patterns/library/marin,http://farm8.static.flickr.com/7271/7583937996_6d25f1f022_m.jpg,Shawls / Scarves,$5.80 ,747,7339,4.5
Ysolda Teague,Icing Swirl Hat,http://www.ravelry.com/patterns/library/icing-swirl-hat,http://farm4.static.flickr.com/3420/3179934366_07da7af0e6_m.jpg,Hats,$5.80 ,739,1623,4.4
Ysolda Teague,hoot!,http://www.ravelry.com/patterns/library/hoot,http://farm4.static.flickr.com/3496/3868685880_78e8f7f8d4_m.jpg,Hats,Free,708,5508,4.6
Ysolda Teague,tiny shoes,http://www.ravelry.com/patterns/library/tiny-shoes,http://farm9.static.flickr.com/8431/7691368730_57c2837043_m.jpg,Socks,$5.80 ,698,3322,4.4
Ysolda Teague,Sophie,http://www.ravelry.com/patterns/library/sophie-7,http://farm3.static.flickr.com/2140/2241553517_b22dfd03f2_m.jpg,Softies,$5.80 ,643,2174,4.7
Ysolda Teague,Hap Blanket,http://www.ravelry.com/patterns/library/hap-blanket,http://farm4.static.flickr.com/3474/3272845282_d4129d4989_m.jpg,Blanket,$5.80 ,640,2145,4.5
Ysolda Teague,Mousie,http://www.ravelry.com/patterns/library/mousie-2,http://farm4.static.flickr.com/3449/3314189256_e2c6f5f7fc_m.jpg,Softies,$5.80 ,637,3174,4.6
Ysolda Teague,Otto,http://www.ravelry.com/patterns/library/otto,http://farm3.static.flickr.com/2086/2421884556_f58a1ee3d9_m.jpg,Softies,$5.80 ,589,3492,4.5
Ysolda Teague,Ishbel Beret,http://www.ravelry.com/patterns/library/ishbel-beret,http://farm4.static.flickr.com/3631/3320308702_ed7f05494e_m.jpg,Hats,$5.80 ,571,1441,4.5
Ysolda Teague,Poppy,http://www.ravelry.com/patterns/library/poppy-6,http://farm4.static.flickr.com/3173/3041458892_a67a3bd8a6_m.jpg,Softies,$5.80 ,535,1745,4.7
Ysolda Teague,Lace-up Opera Gloves,http://www.ravelry.com/patterns/library/lace-up-opera-gloves,http://farm1.static.flickr.com/171/466898272_60cc5ca296_m.jpg,Gloves,Free,512,4246,4
Ysolda Teague,Cairn,http://www.ravelry.com/patterns/library/cairn,http://farm9.static.flickr.com/8428/7691366678_9410ddf47c_m.jpg,Gloves,$5.80 ,479,992,4.6
Ysolda Teague,Verity,http://www.ravelry.com/patterns/library/verity,http://farm3.static.flickr.com/2225/2305255957_568c174034_m.jpg,Hats,$5.80 ,477,2621,4.6
Ysolda Teague,Cria,http://www.ravelry.com/patterns/library/cria,http://farm6.static.flickr.com/5023/5681172752_11c8abe216_m.jpg,Sweaters,$7.75 ,462,2840,4.5
Ysolda Teague,Stuffies,http://www.ravelry.com/patterns/library/stuffies,http://farm1.static.flickr.com/124/337599856_f499698dd0_m.jpg,Softies,Free,437,3196,4
Ysolda Teague,Grown-up booties,http://www.ravelry.com/patterns/library/grown-up-booties,http://farm9.static.flickr.com/8423/7691351452_4bdd6da96c_m.jpg,Socks,Free,386,1128,3.7
Ysolda Teague,Snow White,http://www.ravelry.com/patterns/library/snow-white,http://farm2.static.flickr.com/1303/926661564_03db615b72_m.jpg,Sweaters,$7.75 ,356,6097,4.5
Ysolda Teague,Smith,http://www.ravelry.com/patterns/library/smith-2,http://farm4.static.flickr.com/3510/3840066502_cbaaf29085_m.jpg,Softies,$5.80 ,319,1612,4.6
Ysolda Teague,Struan,http://www.ravelry.com/patterns/library/struan,http://farm3.static.flickr.com/2067/2166050125_8c77758fc0_m.jpg,Hats,$5.80 ,314,1547,4.5
Ysolda Teague,Skull Illusion Scarf,http://www.ravelry.com/patterns/library/skull-illusion-scarf,http://farm1.static.flickr.com/161/337607187_69ded8cddf_m.jpg,Shawls / Scarves,Free,313,860,4.3
Ysolda Teague,Little Birds,http://www.ravelry.com/patterns/library/little-birds-3,http://images4-b.ravelrycache.com/uploads/juliafc/1371375/2705928517_5e939c7411_o_small.jpg,Sweaters,$7.00 ,292,4696,4.2
Ysolda Teague,Chickadee,http://www.ravelry.com/patterns/library/chickadee,http://farm6.static.flickr.com/5187/5680613625_173a1797d8_m.jpg,Sweaters,$7.75 ,255,1837,4.7
Ysolda Teague,Lauriel,http://www.ravelry.com/patterns/library/lauriel,http://farm6.static.flickr.com/5110/5680594501_d2341f8714_m.jpg,Sweaters,$7.75 ,210,1783,4.5
Ysolda Teague,Arisaig,http://www.ravelry.com/patterns/library/arisaig,http://farm1.static.flickr.com/146/337607474_d3b86eb267_m.jpg,Sweaters,Free,209,2591,3.9
Ysolda Teague,Laika,http://www.ravelry.com/patterns/library/laika,http://farm6.static.flickr.com/5061/5680516881_3a87f0f58c_m.jpg,Sweaters,$7.75 ,209,1326,4.5
